SERVICECODE,SERVICECODEDESCRIPTION,standard_category,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,TOTAL_REQUESTS
S0031,Bulk Collection,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,42339
S0261,Parking Enforcement,PARKING,PEMA- Parking Enforcement Management Administration,DPW,37812
S0477,Scheduled Yard Waste,GARBAGE_WASTE,SWMA- Solid Waste Management Administration,DPW,23564
S0441,Trash Collection - Missed,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,16688
DCGOVTINFO,DC Government Information,GOVERNMENT_INFO_ADMIN,311- Call Center,OUC,13045
S0321,Recycling Collection - Missed,GARBAGE_WASTE,SWMA- Solid Waste Management Administration,DPW,11301
S0311,Rodent Inspection and Treatment,ANIMALS_PESTS,DOH- Department Of Health,DOH,10319
S0181,Illegal Dumping,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,10296
S0346,Sanitation Enforcement,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,9792
RPP,Residential Parking Permit Violation,PARKING,PEMA- Parking Enforcement Management Administration,DPW,9706
SIGTRAMA,Traffic Signal Issue,TRAFFIC_SIGNALS_SIGNS,Toa- Trans Sys Mnt,DDOT,6413
S0457,Tree Inspection,TREES_ENVIRONMENT,Urban Forrestry,DDOT,5674
S0336,Out of State Parking Violation (ROSA),PARKING,PEMA- Parking Enforcement Management Administration,DPW,5605
SIGNMISS_v2,Roadway Signs,TRAFFIC_SIGNALS_SIGNS,,DDOT,4991
PRUNING,Tree Pruning,TREES_ENVIRONMENT,Urban Forrestry,DDOT,3827
S0422,Supercan - Delivery,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,3765
S0000,Abandoned Vehicle - On Public Property,VEHICLE_REMOVAL,PEMA- Parking Enforcement Management Administration,DPW,3733
S0301,Pothole,ROAD_INFRASTRUCTURE,Toa-Street & Bridge Maintenance,DDOT,3571
GRAFF,Graffiti Removal,PARKS_RECREATION,SWMA- Solid Waste Management Admistration,DPW,3466
CONTREMO,Container Removal,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,3358
11,Dead Animal Collection,ANIMALS_PESTS,SWMA- Solid Waste Management Admistration,DPW,3166
S0316,Recycling Cart Delivery,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,2824
C62313m,Christmas Tree Removal - Missed,GARBAGE_WASTE,SWMA- Solid Waste Management Administration,DPW,2742
S05SL,Streetlight Repair Investigation,STREETLIGHT_POWER,Transportation Operations Administration,DDOT,2648
SnowIceRP24,Snow and Ice Removal on Public Space,SNOW_ICE,,DPW,2415
S0451,Trash Cart - Delivery,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,2323
S0361,Sidewalk Repair,ROAD_INFRASTRUCTURE,Toa-Street & Bridge Maintenance,DDOT,2204
VACPROP,DOB - Vacant Private Property Inspection,HOUSING_BUILDING,Department of Buildings (DOB),DOB,2102
DOCVEH2022,Dockless Vehicle Parking Complaint,TRAFFIC_SIGNALS_SIGNS,,DDOT,2099
S0217,Public Space Litter Can-Collection,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,1880
S0011,Alley Cleaning,GARBAGE_WASTE,SWMA- Solid Waste Management Admistration,DPW,1842
